Label,Quantity,Unit
Energy,470.0,kcal
Total lipid (fat),14.24,g
"Fatty acids, total saturated",3.266,g
"Fatty acids, total monounsaturated",3.9050000000000002,g
"Fatty acids, total polyunsaturated",4.1930000000000005,g
"Carbohydrate, by difference",51.88,g
"Fiber, total dietary",9.1,g
"Sugars, total",0.05,g
Protein,31.97,g
Cholesterol,55.0,mg
"Sodium, Na",61.0,mg
"Calcium, Ca",46.0,mg
"Magnesium, Mg",109.0,mg
"Potassium, K",753.0,mg
"Iron, Fe",3.6399999999999997,mg
"Zinc, Zn",1.9700000000000002,mg
"Phosphorus, P",423.0,mg
"Vitamin A, RAE",0.0,µg
"Vitamin C, total ascorbic acid",3.9,mg
Thiamin,0.614,mg
Riboflavin,0.22699999999999998,mg
Niacin,10.653,mg
Vitamin B-6,0.798,mg
"Folate, DFE",272.0,µg
"Folate, food",178.0,µg
Folic acid,55.0,µg
Vitamin B-12,3.23,µg
Vitamin D (D2 + D3),0.0,µg
Vitamin E (alpha-tocopherol),3.59,mg
Vitamin K (phylloquinone),0.5,µg
Water,199.07,g
