Name,User Score,Progress,Status,Type,URL
Hajime no Ippo,9.0,30/75,Watching,TV,https://myanimelist.net/anime/263/Hajime_no_Ippo
Kimetsu no Yaiba: Yuukaku-hen,8.0,3/-,Watching,TV,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
Ousama Ranking,9.0,11/23,Watching,TV,https://myanimelist.net/anime/40834/Ousama_Ranking
Tensei shitara Slime Datta Ken,8.0,19/24,Watching,TV,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken
Akame ga Kill!,7.0,24,Completed,TV,https://myanimelist.net/anime/22199/Akame_ga_Kill
Banana Fish,9.0,24,Completed,TV,https://myanimelist.net/anime/36649/Banana_Fish
Black Clover,10.0,170,Completed,TV,https://myanimelist.net/anime/34572/Black_Clover
Boku no Hero Academia,9.0,13,Completed,TV,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
Boku no Hero Academia 2nd Season,9.0,25,Completed,TV,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
Boku no Hero Academia 3rd Season,9.0,25,Completed,TV,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season
Boku no Hero Academia 4th Season,9.0,25,Completed,TV,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season
Boku no Hero Academia 5th Season,8.0,25,Completed,TV,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season
Boku no Hero Academia the Movie 1: Futari no Hero,7.0,1,Completed,Movie,https://myanimelist.net/anime/36896/Boku_no_Hero_Academia_the_Movie_1__Futari_no_Hero
Boku no Hero Academia the Movie 2: Heroes:Rising,8.0,1,Completed,Movie,https://myanimelist.net/anime/39565/Boku_no_Hero_Academia_the_Movie_2__Heroes_Rising
Fullmetal Alchemist: Brotherhood,10.0,64,Completed,TV,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Howl no Ugoku Shiro,8.0,1,Completed,Movie,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Hunter x Hunter (2011),10.0,148,Completed,TV,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Hunter x Hunter Movie 2: The Last Mission,7.0,1,Completed,Movie,https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission
